Timestamp;matlab_p
7;5.108262E+000
33;5.216223E+000
58;5.190519E+000
84;5.123564E+000
110;5.171785E+000
136;5.198223E+000
162;5.153989E+000
187;5.118957E+000
213;5.091736E+000
238;5.132182E+000
263;5.101954E+000
288;5.143896E+000
314;5.200928E+000
339;5.105567E+000
364;5.202475E+000
389;5.191948E+000
415;5.129773E+000
440;5.092973E+000
467;5.134954E+000
492;5.114986E+000
517;5.165345E+000
543;5.148080E+000
569;5.127504E+000
595;5.146444E+000
620;5.139125E+000
647;5.148950E+000
672;5.177531E+000
697;5.183936E+000
723;5.121089E+000
748;5.137580E+000
774;5.109042E+000
799;5.207883E+000
824;5.114827E+000
849;5.137555E+000
875;5.170887E+000
901;5.163767E+000
927;5.184209E+000
952;5.154726E+000
978;5.199345E+000
1003;5.210516E+000
1028;5.128028E+000
1054;5.099207E+000
1079;5.110099E+000
1105;5.153888E+000
1130;5.193412E+000
1156;5.142775E+000
1181;5.150835E+000
1207;5.110431E+000
1232;5.158545E+000
1258;5.203238E+000
1283;5.165566E+000
1309;5.187884E+000
1334;5.198267E+000
1359;5.164301E+000
1385;5.175059E+000
1410;5.196367E+000
1436;5.213396E+000
1461;5.177248E+000
1487;5.177248E+000
1512;5.128551E+000
1537;5.130588E+000
1563;5.164768E+000
1589;5.237951E+000
1614;5.181593E+000
1640;5.217846E+000
1665;5.186017E+000
1690;5.212633E+000
1716;5.203122E+000
1742;5.132022E+000
1767;5.189436E+000
1793;5.149297E+000
1818;5.140676E+000
1844;5.252436E+000
1871;5.171005E+000
1896;5.107963E+000
1922;5.160467E+000
1947;5.190272E+000
1974;5.173331E+000
1999;5.162844E+000
2024;5.161559E+000
2049;5.234765E+000
2075;5.160084E+000
2100;5.179739E+000
2125;5.159580E+000
2151;5.134604E+000
2176;5.175911E+000
2201;5.147896E+000
2226;5.236868E+000
2252;5.113584E+000
2277;5.149242E+000
2303;5.196772E+000
2328;5.154623E+000
2354;5.154276E+000
2380;5.215710E+000
2405;5.163773E+000
2431;5.212086E+000
2456;5.217696E+000
2481;5.151777E+000
2507;5.157085E+000
2533;5.160610E+000
2559;5.148995E+000
2585;5.165747E+000
2610;5.135670E+000
2636;5.209860E+000
2661;5.145345E+000
2686;5.118554E+000
2711;5.187978E+000
2737;5.112056E+000
2762;5.073545E+000
2788;5.174789E+000
2814;5.138072E+000
2840;5.077763E+000
2865;5.162456E+000
2891;5.161880E+000
2916;5.238274E+000
2941;5.137433E+000
2967;5.254442E+000
2992;5.168101E+000
3018;5.279199E+000
3043;5.173139E+000
3070;5.179041E+000
3096;5.180762E+000
3121;5.177359E+000
3146;5.150827E+000
3171;5.116879E+000
3197;5.099703E+000
3223;5.139901E+000
3248;5.142249E+000
3274;5.170415E+000
3299;5.110097E+000
3325;5.133232E+000
3350;5.191536E+000
3375;5.194689E+000
3402;5.212918E+000
3428;5.147103E+000
3453;5.105777E+000
3478;5.131351E+000
3504;5.115077E+000
3529;5.115077E+000
3554;5.166867E+000
3579;5.159561E+000
3604;5.169089E+000
3630;5.106466E+000
3655;5.107011E+000
3681;5.136385E+000
3706;5.187955E+000
3731;5.205642E+000
3757;5.185121E+000
3782;5.108723E+000
3807;5.174565E+000
3833;5.111879E+000
3859;5.146318E+000
3885;5.116883E+000
3911;5.214626E+000
3936;5.134611E+000
3962;5.187899E+000
3988;5.147649E+000
4014;5.133336E+000
4039;5.111135E+000
4065;5.080476E+000
4090;5.160693E+000
4116;5.137737E+000
4142;5.114835E+000
4167;5.193244E+000
4193;5.085534E+000
4219;5.104671E+000
4244;5.148241E+000
4270;5.234447E+000
4295;5.171484E+000
4321;5.154332E+000
4346;5.047975E+000
4371;5.172627E+000
4396;5.238020E+000
4422;5.238020E+000
4448;5.156402E+000
4473;5.175806E+000
4499;5.143871E+000
4525;5.226497E+000
4550;5.116559E+000
4576;5.219325E+000
4601;5.182260E+000
4627;5.211633E+000
4652;5.133571E+000
4678;5.146495E+000
4703;5.147459E+000
4729;5.109652E+000
4755;5.173037E+000
4780;5.142429E+000
4807;5.200794E+000
4832;5.165957E+000
4857;5.133528E+000
4884;5.182794E+000
4909;5.180546E+000
4934;5.107956E+000
4959;5.119517E+000
4984;5.209950E+000
5009;5.212097E+000
5035;5.111454E+000
5061;5.144116E+000
5086;5.167485E+000
5113;5.183256E+000
5139;5.137798E+000
5164;5.095088E+000
5190;5.143843E+000
5216;5.137634E+000
5241;5.110369E+000
5266;5.147714E+000
5291;5.129235E+000
5317;5.119210E+000
5343;5.166003E+000
5368;5.188206E+000
5394;5.144984E+000
5420;5.110350E+000
5446;5.115333E+000
5471;5.166145E+000
5497;5.166923E+000
5523;5.132643E+000
5549;5.107624E+000
5575;5.092753E+000
5600;5.090517E+000
5625;5.181422E+000
5651;5.125785E+000
5676;5.125996E+000
5702;5.169965E+000
5727;5.231966E+000
5753;5.081682E+000
5778;5.126266E+000
5804;5.146005E+000
5829;5.169706E+000
5854;5.107664E+000
5880;5.144740E+000
5905;5.095388E+000
5931;5.174455E+000
5956;5.173265E+000
5981;5.194675E+000
6007;5.172302E+000
6032;5.158427E+000
6057;5.190131E+000
6082;5.226246E+000
6108;5.179706E+000
6133;5.139218E+000
6159;5.146733E+000
6184;5.151056E+000
6209;5.169282E+000
6234;5.129182E+000
6259;5.175340E+000
6284;5.206700E+000
6310;5.158214E+000
6336;5.159580E+000
6361;5.139838E+000
6386;5.195251E+000
6411;5.118106E+000
6436;5.114847E+000
6462;5.131162E+000
6487;5.172742E+000
6513;5.113639E+000
6538;5.097641E+000
6564;5.201157E+000
6590;5.194154E+000
6615;5.126227E+000
6640;5.174696E+000
6666;5.108862E+000
6691;5.134718E+000
6717;5.095375E+000
6743;5.156393E+000
6769;5.181804E+000
6794;5.176982E+000
6820;5.136817E+000
6845;5.181077E+000
6871;5.126881E+000
6896;5.133043E+000
6921;5.192030E+000
6946;5.186232E+000
6972;5.144983E+000
6997;5.113068E+000
7022;5.170851E+000
7048;5.175470E+000
7073;5.173320E+000
7098;5.107916E+000
7124;5.187520E+000
7149;5.076948E+000
7174;5.170359E+000
7200;5.079889E+000
7226;5.118548E+000
7251;5.107475E+000
7277;5.130651E+000
7302;5.168328E+000
7327;5.140162E+000
7352;5.141368E+000
7377;5.122488E+000
7403;5.174419E+000
7428;5.190594E+000
7454;5.079776E+000
7480;5.171751E+000
7505;5.123144E+000
7531;5.164305E+000
7556;5.142426E+000
7582;5.164187E+000
7608;5.163002E+000
7633;5.123273E+000
7658;5.245387E+000
7683;5.144064E+000
7709;5.107894E+000
7734;5.169835E+000
7759;5.053535E+000
7785;5.192956E+000
7810;5.120281E+000
7835;5.156627E+000
7861;5.197291E+000
7886;5.054388E+000
7912;5.112117E+000
7937;5.134562E+000
7963;5.202059E+000
7988;5.156289E+000
8014;5.249258E+000
8040;5.149467E+000
8065;5.175588E+000
8091;5.188608E+000
8117;5.165964E+000
8143;5.133023E+000
8169;5.103720E+000
8195;5.141506E+000
8220;5.191870E+000
8247;5.148546E+000
8272;5.135659E+000
8298;5.213321E+000
8323;5.049543E+000
8349;5.197065E+000
8375;5.166814E+000
8400;5.129818E+000
8425;5.104872E+000
8450;5.219454E+000
8475;5.159198E+000
8501;5.103799E+000
8526;5.182427E+000
8551;5.184485E+000
8576;5.166311E+000
8602;5.205895E+000
8628;5.227057E+000
8653;5.143623E+000
8678;5.191115E+000
8704;5.163496E+000
8730;5.224916E+000
8755;5.158791E+000
8781;5.171589E+000
8806;5.195426E+000
8833;5.153891E+000
8859;5.150026E+000
8884;5.162535E+000
8910;5.179502E+000
8935;5.128387E+000
8961;5.165951E+000
8987;5.203133E+000
9012;5.196272E+000
9038;5.182392E+000
9063;5.139703E+000
9089;5.174797E+000
9115;5.094878E+000
9140;5.156570E+000
9167;5.118119E+000
9192;5.074410E+000
9218;5.146064E+000
9243;5.130045E+000
9269;5.188208E+000
9295;5.167736E+000
9320;5.181520E+000
9345;5.133463E+000
9371;5.188308E+000
9396;5.217512E+000
9422;5.170646E+000
9447;5.064078E+000
9473;5.197324E+000
9499;5.108852E+000
9524;5.096146E+000
9550;5.092210E+000
9575;5.175846E+000
9601;5.177954E+000
9627;5.158167E+000
9653;5.227141E+000
9678;5.181371E+000
9703;5.181371E+000
9729;5.166058E+000
9754;5.137844E+000
9780;5.132789E+000
9806;5.161011E+000
9832;5.101223E+000
9857;5.195533E+000
9883;5.133135E+000
9908;5.168821E+000
9933;5.161936E+000
9958;5.148171E+000
9984;5.202452E+000
10009;5.217564E+000
10035;5.265728E+000
10061;5.204476E+000
10086;5.137607E+000
10111;5.118197E+000
10137;5.176721E+000
10163;5.145529E+000
10188;5.187284E+000
10213;5.136968E+000
10238;5.146748E+000
10264;5.193225E+000
10290;5.204870E+000
10315;5.219398E+000
10341;5.150050E+000
10366;5.219099E+000
10392;5.115486E+000
10418;5.142409E+000
10443;5.154328E+000
10469;5.157111E+000
10495;5.145716E+000
10520;5.180162E+000
10545;5.117753E+000
10571;5.169227E+000
10596;5.218732E+000
10622;5.191461E+000
10649;5.097804E+000
10675;5.103680E+000
10701;5.080237E+000
10726;5.150663E+000
10751;5.163160E+000
10776;5.136207E+000
10801;5.088964E+000
10826;5.116438E+000
10852;5.160118E+000
10877;5.149335E+000
10903;5.097849E+000
10929;5.132898E+000
10954;5.168181E+000
10979;5.166200E+000
11005;5.204521E+000
11031;5.163199E+000
11056;5.106210E+000
11082;5.129475E+000
11108;5.157772E+000
11133;5.204875E+000
11158;5.160902E+000
11184;5.110983E+000
11210;5.165570E+000
11235;5.123043E+000
11260;5.141626E+000
11286;5.142663E+000
11312;5.160107E+000
11337;5.144029E+000
11362;5.144029E+000
11387;5.085376E+000
11413;5.222731E+000
11438;5.167246E+000
11463;5.167246E+000
11488;5.123384E+000
11514;5.255347E+000
11540;5.200582E+000
11565;5.200582E+000
11591;5.167338E+000
11617;5.190292E+000
11642;5.174071E+000
11668;5.160152E+000
11694;5.115129E+000
11720;5.131166E+000
11745;5.145391E+000
11770;5.152252E+000
11796;5.216963E+000
11821;5.172174E+000
11847;5.173438E+000
11873;5.216006E+000
11898;5.153340E+000
11925;5.163970E+000
11950;5.158545E+000
11976;5.208908E+000
12001;5.158206E+000
12027;5.155742E+000
12053;5.179277E+000
12078;5.187004E+000
12103;5.147201E+000
12128;5.242528E+000
12154;5.110830E+000
12179;5.206912E+000
12204;5.155629E+000
12230;5.097770E+000
12255;5.249621E+000
12281;5.115877E+000
12307;5.137203E+000
12332;5.159232E+000
12358;5.196697E+000
12383;5.155399E+000
12408;5.187421E+000
12433;5.128120E+000
12458;5.200028E+000
12483;5.245949E+000
12508;5.245986E+000
12533;5.144780E+000
12559;5.088367E+000
12584;5.168279E+000
12609;5.195931E+000
12635;5.141421E+000
12660;5.182415E+000
12686;5.137291E+000
12712;5.171393E+000
12737;5.179503E+000
12763;5.157525E+000
12789;5.170621E+000
12814;5.184307E+000
12839;5.092140E+000
12865;5.148034E+000
12890;5.190772E+000
12916;5.153714E+000
12942;5.148063E+000
12968;5.160999E+000
12994;5.134795E+000
13020;5.133383E+000
13046;5.123853E+000
13071;5.190126E+000
13096;5.190126E+000
13121;5.190126E+000
13146;5.181811E+000
13171;5.145709E+000
13196;5.176437E+000
13222;5.147295E+000
13247;5.102127E+000
13273;5.194718E+000
13298;5.200883E+000
13323;5.125615E+000
13348;5.148878E+000
13374;5.169314E+000
13400;5.200960E+000
13425;5.153276E+000
13450;5.208095E+000
13476;5.195336E+000
13502;5.237493E+000
13528;5.149527E+000
13554;5.184526E+000
