Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
21;5.261624E+000;0.000000E+000;1.849000E+003;0.000000E+000
48;5.237712E+000;0.000000E+000;2.073600E+004;0.000000E+000
75;5.131788E+000;0.000000E+000;9.000000E+002;0.000000E+000
102;5.248130E+000;0.000000E+000;9.000000E+002;0.000000E+000
129;5.177340E+000;0.000000E+000;2.073600E+004;0.000000E+000
156;5.228734E+000;0.000000E+000;5.041000E+003;0.000000E+000
183;5.235651E+000;0.000000E+000;9.000000E+002;0.000000E+000
209;5.128956E+000;0.000000E+000;9.000000E+000;0.000000E+000
236;5.321583E+000;0.000000E+000;1.849000E+003;0.000000E+000
263;5.321583E+000;0.000000E+000;1.849000E+003;0.000000E+000
289;5.239170E+000;0.000000E+000;9.000000E+000;0.000000E+000
317;5.297001E+000;0.000000E+000;9.000000E+002;0.000000E+000
344;5.244768E+000;0.000000E+000;7.921000E+003;0.000000E+000
371;5.229338E+000;0.000000E+000;9.000000E+002;0.000000E+000
398;5.209684E+000;0.000000E+000;9.000000E+002;0.000000E+000
425;5.293057E+000;0.000000E+000;9.000000E+002;0.000000E+000
452;5.217325E+000;0.000000E+000;5.041000E+003;0.000000E+000
479;5.280810E+000;0.000000E+000;1.849000E+003;0.000000E+000
506;5.290812E+000;0.000000E+000;1.849000E+003;0.000000E+000
533;5.137976E+000;0.000000E+000;1.849000E+003;0.000000E+000
560;5.275465E+000;0.000000E+000;9.000000E+000;0.000000E+000
587;5.256849E+000;0.000000E+000;1.849000E+003;0.000000E+000
614;5.245385E+000;0.000000E+000;1.960000E+004;0.000000E+000
641;5.173281E+000;0.000000E+000;9.000000E+000;0.000000E+000
668;5.278592E+000;0.000000E+000;3.364000E+003;0.000000E+000
695;5.317676E+000;0.000000E+000;9.000000E+000;0.000000E+000
721;5.289895E+000;0.000000E+000;1.060900E+004;0.000000E+000
748;5.262705E+000;0.000000E+000;1.849000E+003;0.000000E+000
775;5.215504E+000;0.000000E+000;9.000000E+000;0.000000E+000
803;5.240421E+000;0.000000E+000;2.250000E+002;0.000000E+000
830;5.201995E+000;0.000000E+000;1.345600E+004;0.000000E+000
856;5.245606E+000;0.000000E+000;9.000000E+000;0.000000E+000
883;5.213327E+000;0.000000E+000;1.849000E+003;0.000000E+000
910;5.291590E+000;0.000000E+000;3.364000E+003;0.000000E+000
936;5.187995E+000;0.000000E+000;9.000000E+002;0.000000E+000
963;5.279412E+000;0.000000E+000;1.849000E+003;0.000000E+000
990;5.201244E+000;0.000000E+000;5.041000E+003;0.000000E+000
1018;5.255423E+000;0.000000E+000;1.849000E+003;0.000000E+000
1044;5.276134E+000;0.000000E+000;9.000000E+002;0.000000E+000
1071;5.233507E+000;0.000000E+000;9.000000E+002;0.000000E+000
1099;5.230635E+000;0.000000E+000;1.849000E+003;0.000000E+000
1126;5.214943E+000;0.000000E+000;9.000000E+002;0.000000E+000
1154;5.223967E+000;0.000000E+000;9.000000E+002;0.000000E+000
1181;5.262824E+000;0.000000E+000;2.250000E+002;0.000000E+000
1208;5.252845E+000;0.000000E+000;1.849000E+003;0.000000E+000
1236;5.193008E+000;0.000000E+000;9.000000E+000;0.000000E+000
1264;5.256381E+000;0.000000E+000;9.000000E+002;0.000000E+000
1291;5.244353E+000;0.000000E+000;2.250000E+002;0.000000E+000
