Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
2493;6.915998E+000;3.502830E+005;6.760000E+002;3.892729E+006
2519;6.956664E+000;3.169600E+004;5.017600E+004;3.892729E+006
2547;6.749693E+000;-5.535600E+004;7.840000E+002;3.900625E+006
2574;7.027212E+000;-7.307500E+004;1.369000E+003;3.876961E+006
2602;6.849631E+000;8.545600E+005;3.364000E+003;3.818116E+006
2629;6.807677E+000;2.802800E+005;6.604900E+004;3.900625E+006
2657;6.818944E+000;-2.860850E+005;2.102500E+004;3.779136E+006
2684;6.843198E+000;4.052020E+005;1.260250E+005;3.869089E+006
2711;6.884973E+000;6.330800E+005;1.043290E+005;3.841600E+006
2739;6.839569E+000;4.841200E+005;6.100900E+004;3.876961E+006
2766;6.891503E+000;1.344360E+005;4.624000E+003;3.884841E+006
2793;6.757164E+000;5.076480E+005;5.522500E+004;3.924361E+006
2820;6.890873E+000;-3.281820E+005;2.755600E+004;3.900625E+006
2847;6.933204E+000;2.658150E+005;1.303210E+005;3.841600E+006
2875;6.787388E+000;2.450000E+005;1.562500E+004;3.818116E+006
2903;6.882688E+000;3.693250E+005;3.496900E+004;3.849444E+006
2930;6.928412E+000;2.387330E+005;3.496900E+004;3.779136E+006
2958;6.823855E+000;-2.468880E+005;4.900000E+001;3.833764E+006
2985;6.930294E+000;-1.097600E+005;1.416100E+004;3.857296E+006
3012;6.851626E+000;5.949000E+005;9.000000E+004;3.908529E+006
3040;6.824457E+000;1.693340E+005;7.396000E+003;3.924361E+006
3068;6.893189E+000;2.989840E+005;3.136000E+003;3.916441E+006
3095;6.829048E+000;-2.101480E+005;1.795600E+004;3.841600E+006
3123;6.997342E+000;5.395060E+005;6.724000E+003;3.924361E+006
3151;6.815259E+000;6.972200E+005;6.051600E+004;3.833764E+006
3179;6.752628E+000;4.088040E+005;1.322500E+004;3.849444E+006
3207;6.829151E+000;-4.336020E+005;5.184000E+003;3.884841E+006
3234;6.863557E+000;1.256960E+005;5.184000E+003;3.841600E+006
3261;6.791915E+000;1.979000E+005;1.000000E+004;3.876961E+006
3289;6.882944E+000;2.480940E+005;1.587600E+004;3.876961E+006
3316;6.680548E+000;3.018690E+005;6.300100E+004;3.841600E+006
3344;6.961400E+000;5.282280E+005;1.988100E+004;3.884841E+006
3371;6.810813E+000;-3.258750E+005;9.801000E+003;3.932289E+006
3398;6.859909E+000;4.017370E+005;4.120900E+004;3.916441E+006
3425;6.816924E+000;2.666250E+005;1.822500E+004;3.908529E+006
3452;6.881752E+000;1.888320E+005;5.244100E+004;3.908529E+006
3480;6.790984E+000;4.685490E+005;5.616900E+004;3.908529E+006
3507;6.984785E+000;3.434050E+005;1.587600E+004;3.884841E+006
3534;6.765618E+000;2.097740E+005;1.440000E+002;3.876961E+006
3562;6.831820E+000;-3.139200E+004;8.584900E+004;3.825936E+006
3590;6.797863E+000;1.545240E+005;6.241000E+003;3.794704E+006
3618;6.708553E+000;5.778680E+005;8.526400E+004;3.932289E+006
3645;6.847070E+000;2.431710E+005;5.760000E+004;3.908529E+006
3672;6.881086E+000;-1.419120E+005;1.440000E+004;3.849444E+006
3699;6.820818E+000;4.981570E+005;6.400900E+004;3.908529E+006
3727;6.952656E+000;2.407060E+005;1.488400E+004;3.869089E+006
3755;6.715795E+000;5.125610E+005;6.708100E+004;3.849444E+006
3782;6.851543E+000;4.344040E+005;7.840000E+004;3.900625E+006
3809;6.764333E+000;3.241470E+005;2.788900E+004;3.869089E+006
3837;6.711546E+000;3.957690E+005;4.040100E+004;3.900625E+006
3864;6.962529E+000;5.409250E+005;7.562500E+004;3.908529E+006
3891;6.685707E+000;4.907920E+005;1.690000E+004;3.892729E+006
3918;6.821086E+000;4.961880E+005;6.350400E+004;3.849444E+006
3945;6.741156E+000;3.416750E+005;2.992900E+004;3.857296E+006
3973;6.809638E+000;2.491020E+005;5.953600E+004;3.924361E+006
4001;6.784799E+000;-5.943000E+003;9.000000E+000;3.924361E+006
4027;6.686196E+000;3.823740E+005;4.000000E+004;3.849444E+006
4054;6.643957E+000;1.433720E+005;3.802500E+004;3.833764E+006
4082;6.847220E+000;5.406020E+005;4.489000E+003;3.884841E+006
4110;6.687266E+000;3.619280E+005;4.284900E+004;3.940225E+006
4140;6.881805E+000;1.811480E+005;8.464000E+003;3.948169E+006
4167;6.716262E+000;4.556650E+005;6.200100E+004;3.802500E+006
4193;6.912696E+000;2.992680E+005;3.240000E+004;3.884841E+006
4221;6.861718E+000;4.900000E+005;7.236100E+004;3.869089E+006
