Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
2;6.918029E+000;5.055190E+005;6.604900E+004;3.924361E+006
28;6.666780E+000;-6.884500E+004;4.284900E+004;3.849444E+006
56;6.959250E+000;4.016760E+005;3.600000E+001;3.924361E+006
83;7.027018E+000;3.697960E+005;1.823290E+005;3.841600E+006
111;6.760262E+000;3.568500E+005;3.348900E+004;3.802500E+006
138;6.855562E+000;2.985280E+005;1.612900E+004;3.900625E+006
164;6.818523E+000;-1.116060E+005;3.249000E+003;3.869089E+006
191;6.957464E+000;2.156000E+005;1.210000E+004;3.810304E+006
218;6.931619E+000;8.038250E+005;1.656490E+005;3.802500E+006
245;6.782794E+000;8.860680E+005;4.368100E+004;3.869089E+006
273;7.025831E+000;-9.845000E+004;1.690000E+004;3.908529E+006
300;6.920146E+000;6.122500E+004;8.100000E+001;3.900625E+006
327;6.830323E+000;3.669780E+005;3.459600E+004;3.916441E+006
355;6.934526E+000;3.619280E+005;1.440000E+004;3.884841E+006
382;6.753409E+000;5.245500E+005;8.352100E+004;3.841600E+006
409;7.067052E+000;2.335220E+005;1.392400E+004;3.857296E+006
435;7.033850E+000;2.295640E+005;2.073600E+004;3.869089E+006
463;6.618936E+000;4.644000E+005;5.904900E+004;3.779136E+006
490;6.979910E+000;1.381100E+005;4.900000E+003;3.924361E+006
517;7.105651E+000;1.607200E+005;1.584040E+005;3.802500E+006
544;6.841963E+000;-2.040480E+005;1.276900E+004;3.825936E+006
572;6.718192E+000;3.393000E+005;4.096000E+003;3.857296E+006
599;6.730278E+000;6.213200E+005;1.513210E+005;3.825936E+006
626;6.902233E+000;-3.974000E+005;4.000000E+004;3.884841E+006
653;6.962645E+000;-2.513330E+005;1.681000E+003;3.779136E+006
680;6.519976E+000;9.730000E+004;9.363600E+004;3.818116E+006
707;6.626927E+000;8.317620E+005;1.780840E+005;3.876961E+006
734;6.640842E+000;2.753590E+005;1.932100E+004;3.924361E+006
760;7.104223E+000;5.169260E+005;5.712100E+004;3.916441E+006
788;6.768073E+000;1.435680E+005;2.044900E+004;3.948169E+006
815;6.812214E+000;3.872880E+005;3.920400E+004;3.841600E+006
842;6.624696E+000;4.826080E+005;6.150400E+004;3.810304E+006
869;6.725760E+000;1.085840E+005;1.225000E+005;3.825936E+006
896;6.742344E+000;3.619280E+005;3.385600E+004;3.767481E+006
922;6.807326E+000;6.754500E+005;9.409000E+003;3.876961E+006
950;7.054183E+000;4.811760E+005;6.051600E+004;3.818116E+006
978;6.991651E+000;2.091380E+005;1.123600E+004;3.818116E+006
1007;6.949679E+000;-4.699710E+005;4.326400E+004;3.924361E+006
1034;6.856976E+000;2.533560E+005;9.241600E+004;3.892729E+006
1060;6.897997E+000;-9.687300E+004;6.100900E+004;3.876961E+006
1087;6.764635E+000;-4.602780E+005;1.197160E+005;3.825936E+006
1113;6.719043E+000;3.374640E+005;2.958400E+004;3.818116E+006
1140;6.840081E+000;2.481580E+005;1.612900E+004;3.908529E+006
1167;6.917294E+000;1.524120E+005;7.344100E+004;3.759721E+006
1194;6.891926E+000;5.694000E+005;8.526400E+004;3.825936E+006
1220;6.887925E+000;2.804500E+005;6.100900E+004;3.932289E+006
1247;6.889425E+000;1.794000E+005;8.464000E+003;3.794704E+006
1273;6.558109E+000;8.377740E+005;1.069290E+005;3.833764E+006
1300;7.112775E+000;7.090250E+005;1.288810E+005;3.876961E+006
1327;6.891682E+000;4.390400E+005;5.017600E+004;3.884841E+006
1353;6.758767E+000;-2.455000E+005;1.562500E+004;3.802500E+006
1380;6.872313E+000;3.090480E+005;3.686400E+004;3.802500E+006
1408;6.993898E+000;1.207760E+005;7.840000E+004;3.810304E+006
1435;6.943260E+000;3.966000E+005;9.241600E+004;3.916441E+006
1463;6.826349E+000;6.148120E+005;9.859600E+004;3.884841E+006
1489;6.935942E+000;-2.256300E+005;1.322500E+004;3.876961E+006
1517;7.133651E+000;2.150570E+005;7.784100E+004;3.908529E+006
1544;6.815275E+000;6.655750E+005;1.135690E+005;3.900625E+006
1570;7.098519E+000;3.999900E+005;4.040100E+004;3.916441E+006
1597;6.998777E+000;6.018320E+005;4.796100E+004;3.857296E+006
1624;6.917667E+000;3.583580E+005;1.322500E+004;3.869089E+006
1651;6.917667E+000;-8.615200E+004;1.936000E+003;3.900625E+006
1678;6.785274E+000;5.331200E+005;1.537600E+004;3.833764E+006
1705;6.839332E+000;3.029180E+005;1.416100E+004;3.857296E+006
1732;6.662000E+000;3.120000E+005;9.610000E+004;3.767481E+006
1759;6.727342E+000;1.433720E+005;5.329000E+003;3.876961E+006
1787;7.149862E+000;1.517670E+005;5.929000E+003;3.876961E+006
1815;6.899191E+000;4.976510E+005;6.400900E+004;3.869089E+006
1842;6.862742E+000;3.093640E+005;2.496400E+004;3.900625E+006
1870;6.880797E+000;4.118720E+005;4.452100E+004;3.857296E+006
1897;6.905682E+000;6.017650E+005;6.051600E+004;3.869089E+006
1923;7.001123E+000;3.982860E+005;3.249000E+003;3.892729E+006
1950;6.941750E+000;2.361920E+005;1.464100E+004;3.825936E+006
1978;6.758747E+000;-3.535200E+004;8.526400E+004;3.818116E+006
2005;6.808001E+000;3.811200E+005;5.475600E+004;3.940225E+006
2032;7.183605E+000;1.635080E+005;6.724000E+003;3.976036E+006
2059;7.406975E+000;-1.589600E+004;2.402500E+004;3.924361E+006
2086;6.727540E+000;1.385300E+005;4.900000E+003;3.825936E+006
2114;6.725876E+000;5.549360E+005;8.065600E+004;3.892729E+006
2142;6.971756E+000;4.676500E+005;2.560000E+002;3.857296E+006
2169;7.009526E+000;-1.626800E+005;4.536900E+004;3.916441E+006
2196;7.233495E+000;3.170090E+005;2.250000E+004;3.916441E+006
2224;6.713064E+000;-4.937500E+004;7.672900E+004;3.916441E+006
2251;6.704579E+000;7.805160E+005;1.568160E+005;3.884841E+006
2277;7.137056E+000;6.148470E+005;2.073600E+004;3.892729E+006
2304;6.886055E+000;4.065480E+005;2.310400E+004;3.900625E+006
2331;6.949100E+000;2.582010E+005;1.716100E+004;3.869089E+006
2358;6.980191E+000;2.788880E+005;2.016400E+004;3.932289E+006
2386;6.828656E+000;3.881310E+005;4.040100E+004;3.825936E+006
2414;7.032823E+000;5.056800E+005;6.656400E+004;3.900625E+006
2441;7.012659E+000;6.923840E+005;3.610000E+002;3.818116E+006
2468;7.004302E+000;2.887080E+005;9.000000E+002;3.767481E+006
2495;6.852376E+000;3.721410E+005;3.572100E+004;3.876961E+006
2522;6.873814E+000;4.259720E+005;3.204100E+004;3.841600E+006
2549;6.900113E+000;3.531670E+005;3.600000E+001;3.900625E+006
2577;6.947434E+000;3.143430E+005;2.528100E+004;3.900625E+006
2604;6.853918E+000;6.193600E+005;9.985600E+004;3.900625E+006
2631;6.915986E+000;4.158810E+005;5.776000E+003;3.849444E+006
2658;6.911005E+000;4.826380E+005;6.100900E+004;3.818116E+006
2684;6.754403E+000;2.788500E+005;2.044900E+004;3.802500E+006
2712;7.115069E+000;2.663550E+005;1.822500E+004;3.825936E+006
2739;6.834952E+000;1.699980E+005;7.569000E+003;3.849444E+006
2766;7.051005E+000;2.249400E+005;2.592100E+004;3.833764E+006
2793;7.015402E+000;5.158780E+005;6.864400E+004;3.857296E+006
2820;6.636240E+000;6.006960E+005;9.548100E+004;3.786916E+006
2847;7.071435E+000;4.451760E+005;5.244100E+004;3.802500E+006
2875;7.071241E+000;4.572360E+005;1.738890E+005;3.833764E+006
2902;6.987084E+000;8.413500E+005;8.584900E+004;3.869089E+006
2930;6.965640E+000;5.496060E+005;7.728400E+004;3.908529E+006
2958;6.978748E+000;-3.923520E+005;4.040100E+004;3.833764E+006
2985;6.797530E+000;7.065030E+005;1.274490E+005;3.900625E+006
3013;7.001659E+000;6.070680E+005;9.486400E+004;3.884841E+006
3039;6.959880E+000;3.163200E+005;2.560000E+004;3.857296E+006
3066;6.994188E+000;3.764880E+005;3.572100E+004;3.968064E+006
3094;6.934095E+000;8.247140E+005;6.889000E+003;3.924361E+006
3122;6.988833E+000;3.681500E+005;3.385600E+004;3.916441E+006
3149;6.983629E+000;2.228800E+005;6.502500E+004;3.916441E+006
3176;6.733651E+000;3.370040E+005;2.992900E+004;3.841600E+006
3202;6.959285E+000;4.020840E+005;3.348900E+004;3.857296E+006
3230;7.085783E+000;1.563200E+004;6.400000E+001;3.786916E+006
3257;6.774980E+000;8.098800E+005;1.664640E+005;3.884841E+006
3285;7.072043E+000;5.594400E+005;8.410000E+004;4.068289E+006
3312;7.253811E+000;4.156560E+005;4.284900E+004;4.068289E+006
3339;7.397122E+000;6.268940E+005;7.840000E+002;4.153444E+006
3367;7.247454E+000;-6.954500E+004;1.225000E+003;3.948169E+006
3394;6.726055E+000;4.033480E+005;6.300100E+004;3.876961E+006
3421;6.526588E+000;1.834450E+005;9.025000E+003;3.767481E+006
3449;6.557595E+000;3.850650E+005;3.960100E+004;3.759721E+006
3476;6.505557E+000;4.421920E+005;1.322500E+004;3.602404E+006
3504;6.552666E+000;1.347580E+005;2.190240E+005;3.632836E+006
3531;6.993713E+000;6.661950E+005;1.190250E+005;3.728761E+006
3558;7.704318E+000;9.271080E+005;2.190240E+005;3.900625E+006
3584;7.714384E+000;1.054040E+005;8.584900E+004;4.084441E+006
3611;7.711053E+000;-1.502940E+005;5.476000E+003;4.108729E+006
3638;7.212526E+000;5.496360E+005;7.896100E+004;3.833764E+006
3666;5.663834E+000;2.122320E+005;5.329000E+003;3.697929E+006
3694;6.884272E+000;5.788860E+005;8.643600E+004;3.849444E+006
3721;7.363266E+000;2.493540E+005;1.406250E+005;3.916441E+006
3748;7.009600E+000;3.658620E+005;3.459600E+004;3.841600E+006
3775;6.884944E+000;3.116800E+005;2.560000E+004;3.794704E+006
3802;6.809780E+000;1.175238E+006;3.588010E+005;3.849444E+006
3830;7.314550E+000;1.064340E+005;8.468100E+004;3.900625E+006
3858;7.094795E+000;5.404640E+005;5.569600E+004;3.916441E+006
3885;7.143841E+000;3.497120E+005;3.097600E+004;3.968064E+006
3912;7.049568E+000;-1.001640E+005;2.601000E+003;3.900625E+006
3940;6.689725E+000;3.567510E+005;2.592100E+004;3.876961E+006
